Year,League,Champion,Runner_Up
2023.0,NBA,Denver Nuggets,Miami Heat
2022.0,NBA,Golden State Warriors,Boston Celtics
2021.0,NBA,Milwaukee Bucks,Phoenix Suns
2020.0,NBA,Los Angeles Lakers,Miami Heat
2019.0,NBA,Toronto Raptors,Golden State Warriors
2018.0,NBA,Golden State Warriors,Cleveland Cavaliers
2017.0,NBA,Golden State Warriors,Cleveland Cavaliers
2016.0,NBA,Cleveland Cavaliers,Golden State Warriors
2015.0,NBA,Golden State Warriors,Cleveland Cavaliers
2014.0,NBA,San Antonio Spurs,Miami Heat
2013.0,NBA,Miami Heat,San Antonio Spurs
2012.0,NBA,Miami Heat,Oklahoma City Thunder
2011.0,NBA,Dallas Mavericks,Miami Heat
2010.0,NBA,Los Angeles Lakers,Boston Celtics
2009.0,NBA,Los Angeles Lakers,Orlando Magic
2008.0,NBA,Boston Celtics,Los Angeles Lakers
2007.0,NBA,San Antonio Spurs,Cleveland Cavaliers
2006.0,NBA,Miami Heat,Dallas Mavericks
2005.0,NBA,San Antonio Spurs,Detroit Pistons
2004.0,NBA,Detroit Pistons,Los Angeles Lakers
2003.0,NBA,San Antonio Spurs,New Jersey Nets
2002.0,NBA,Los Angeles Lakers,New Jersey Nets
2001.0,NBA,Los Angeles Lakers,Philadelphia 76ers
2000.0,NBA,Los Angeles Lakers,Indiana Pacers
1999.0,NBA,San Antonio Spurs,New York Knicks
1998.0,NBA,Chicago Bulls,Utah Jazz
1997.0,NBA,Chicago Bulls,Utah Jazz
1996.0,NBA,Chicago Bulls,Seattle SuperSonics
1995.0,NBA,Houston Rockets,Orlando Magic
1994.0,NBA,Houston Rockets,New York Knicks
1993.0,NBA,Chicago Bulls,Phoenix Suns
1992.0,NBA,Chicago Bulls,Portland Trail Blazers
1991.0,NBA,Chicago Bulls,Los Angeles Lakers
1990.0,NBA,Detroit Pistons,Portland Trail Blazers
1989.0,NBA,Detroit Pistons,Los Angeles Lakers
1988.0,NBA,Los Angeles Lakers,Detroit Pistons
1987.0,NBA,Los Angeles Lakers,Boston Celtics
1986.0,NBA,Boston Celtics,Houston Rockets
1985.0,NBA,Los Angeles Lakers,Boston Celtics
1984.0,NBA,Boston Celtics,Los Angeles Lakers
1983.0,NBA,Philadelphia 76ers,Los Angeles Lakers
1982.0,NBA,Los Angeles Lakers,Philadelphia 76ers
1981.0,NBA,Boston Celtics,Houston Rockets
1980.0,NBA,Los Angeles Lakers,Philadelphia 76ers
1979.0,NBA,Seattle SuperSonics,Washington Bullets
1978.0,NBA,Washington Bullets,Seattle SuperSonics
1977.0,NBA,Portland Trail Blazers,Philadelphia 76ers
1976.0,NBA,Boston Celtics,Phoenix Suns
1976.0,ABA,New York Nets,Denver Nuggets
1975.0,NBA,Golden State Warriors,Washington Bullets
1975.0,ABA,Kentucky Colonels,Indiana Pacers
1974.0,NBA,Boston Celtics,Milwaukee Bucks
1974.0,ABA,New York Nets,Utah Stars
1973.0,NBA,New York Knicks,Los Angeles Lakers
1973.0,ABA,Indiana Pacers,Kentucky Colonels
1972.0,NBA,Los Angeles Lakers,New York Knicks
1972.0,ABA,Indiana Pacers,New York Nets
1971.0,NBA,Milwaukee Bucks,Baltimore Bullets
1971.0,ABA,Utah Stars,Kentucky Colonels
1970.0,NBA,New York Knicks,Los Angeles Lakers
1970.0,ABA,Indiana Pacers,Los Angeles Stars
1969.0,NBA,Boston Celtics,Los Angeles Lakers
1969.0,ABA,Oakland Oaks,Indiana Pacers
1968.0,NBA,Boston Celtics,Los Angeles Lakers
1968.0,ABA,Pittsburgh Pipers,New Orleans Buccaneers
1967.0,NBA,Philadelphia 76ers,San Francisco Warriors
1966.0,NBA,Boston Celtics,Los Angeles Lakers
1965.0,NBA,Boston Celtics,Los Angeles Lakers
1964.0,NBA,Boston Celtics,San Francisco Warriors
1963.0,NBA,Boston Celtics,Los Angeles Lakers
1962.0,NBA,Boston Celtics,Los Angeles Lakers
1961.0,NBA,Boston Celtics,St. Louis Hawks
1960.0,NBA,Boston Celtics,St. Louis Hawks
1959.0,NBA,Boston Celtics,Minneapolis Lakers
1958.0,NBA,St. Louis Hawks,Boston Celtics
1957.0,NBA,Boston Celtics,St. Louis Hawks
1956.0,NBA,Philadelphia Warriors,Fort Wayne Pistons
1955.0,NBA,Syracuse Nationals,Fort Wayne Pistons
1954.0,NBA,Minneapolis Lakers,Syracuse Nationals
1953.0,NBA,Minneapolis Lakers,New York Knicks
1952.0,NBA,Minneapolis Lakers,New York Knicks
1951.0,NBA,Rochester Royals,New York Knicks
1950.0,NBA,Minneapolis Lakers,Syracuse Nationals
1949.0,BAA,Minneapolis Lakers,Washington Capitols
1948.0,BAA,Baltimore Bullets,Philadelphia Warriors
1947.0,BAA,Philadelphia Warriors,Chicago Stags
